,isourbid,iso3,urbid,name,pop_2000,area_sq_km,urban_day_mean,buffer_day_mean,day_diff,urban_night_mean,buffer_night_mean,night_diff,latitude,longitude,pop_per_sq_km
8808,CHN35020,CHN,35020,SHIJIAZHUANG,2067882.5999999978,1116.23,41.63,41.63,1.49,22.16,20.38,1.7710000000000001,38.05564554,114.417081,2353.576771812261
8809,CHN35021,CHN,35021,WUJI,195838.0,76.29,43.42,43.42,0.12,20.09,21.17,-0.7299999999999969,38.15589543,114.9569561,2567.0205793682003
8844,ITA35122,ITA,35122,MARSALA,248163.0,788.88,45.04,45.04,1.44,19.86,19.53,0.3299999999999983,37.88348275,12.59357461,314.5763614237907
8848,CHN35128,CHN,35128,YANGQUAN,611219.0,1006.96,36.69,36.69,3.59,18.38,17.06,1.3200000000000003,37.88946683,113.5641638,606.9943195360293
8863,CHN35162,CHN,35162,POTOU,165892.0,94.63,40.28,40.28,1.92,21.37,20.64,0.7300000000000004,38.07104276,116.5807619,1753.0592835253092
8878,CHN35216,CHN,35216,WUZHONG,323647.0,655.34,39.11,39.11,-1.7769999999999997,17.74,17.41,0.3299999999999983,37.94966284,106.0954099,493.86120181890317
8880,CHN35222,CHN,35222,GAOCHENG,191420.0,70.34,43.11,43.11,1.06,21.69,20.23,1.4600000000000009,38.02845346,114.855598,2721.3534262155245
8881,CHN35223,CHN,35223,JINZHOU,144252.0,58.84,41.91,41.91,1.47,21.35,20.82,0.5300000000000011,38.02796281,115.0376803,2451.597552685248
8884,PRK35226,PRK,35226,HAEJU,234872.0,47.765,33.86,33.86,3.52,18.69,19.92,-0.7299999999999969,38.04252666,125.7097879,15523.595505617977
8891,TUR35237,TUR,35237,KONYA,742700.0,538.64,48.89,48.89,0.29,16.15,14.2,1.7710000000000001,37.90015535,32.51448304,1378.8430120302985
8893,CHN35241,CHN,35241,TAIYUAN,2067882.5999999978,1660.45,39.36,39.36,4.17,18.8,17.44,1.3599999999999994,37.72690478,112.4727407,2058.375741515854
8903,ESP35260,ESP,35260,CORDOBA,307475.0,454.3,46.27,46.27,-0.03,20.31,19.89,0.41999999999999815,37.88858413,-4.804273588,676.8104776579353
8910,CHN35280,CHN,35280,GUJIAO,121069.0,520.21,36.54,36.54,2.61,16.03,14.91,1.120000000000001,37.91899159,112.0842983,232.73101247573095
8912,TUR35291,TUR,35291,DIYARBAKIR,546000.0,275.66,51.06699999999999,51.06699999999999,-0.49,20.93,20.27,0.6600000000000001,37.92599403,40.22049647,1980.7008633824275
8914,TUR35295,TUR,35295,NIGDE,107900.0,305.47,46.73,46.73,-0.61,15.22,12.85,1.7710000000000001,37.92360063,34.63024807,353.22617605656853
8920,CHN35308,CHN,35308,XINJI,172870.0,113.09,42.97,42.97,2.76,20.8,20.44,0.35999999999999943,37.9352836,115.2193248,1528.6055354142718
8926,PRK35323,PRK,35323,KAESONG,145285.0,47.765,33.84,33.84,2.97,23.22,22.3,0.9199999999999982,37.975396,126.5648138,13514.883720930233
8936,CHN35356,CHN,35356,WUWEI,273047.0,125.3,43.28,43.28,0.99,14.39,13.96,0.4299999999999997,37.9254861,102.6474881,2179.146049481245
8947,TUR35383,TUR,35383,NAZILLI,105700.0,188.37,43.53,43.53,1.37,21.62,20.77,0.8500000000000014,37.89454271,28.26674743,561.1296915644741
8950,KOR35388,KOR,35388,CHUNCHEON,197470.0,186.35,31.76,31.76,2.61,21.27,20.02,1.25,37.88391501,127.7443921,1059.672658975047
8952,TUR35407,TUR,35407,BATMAN,246700.0,229.13,51.06699999999999,51.06699999999999,-0.1,19.36,19.31,0.05000000000000071,37.86100398,41.13901929,1076.6813599266793
